pot_id,pot_label,short_label,photo_order,photo_group,photo_position,blocked_order,photo_group_label,randomised_mapping,mapping_source,temperature_code,bench,temperature_regime,replicate,variety_code,variety_name,disease_code,disease_class,fertiliser_code,fertiliser_level,watering_rule,inoculation_stage,notes
POC-013,03_POC-013_C_Ma_H_R4,03_POC-013,13,1,13,03,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V1,Maximus CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-014,10_POC-014_C_Pl_H_R4,10_POC-014,14,1,14,10,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V2,RGT Planet,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-015,01_POC-015_C_Ro_H_R4,01_POC-015,15,1,15,01,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V3,Rosalind,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-016,06_POC-016_C_Gr_H_R4,06_POC-016,16,1,16,06,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V4,Granite CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-017,28_POC-017_NF_Ma_H_R1,28_POC-017,17,2,1,28,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V1,Maximus CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-018,19_POC-018_NF_Pl_H_R1,19_POC-018,18,2,2,19,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V2,RGT Planet,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-019,31_POC-019_NF_Ro_H_R1,31_POC-019,19,2,3,31,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V3,Rosalind,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-020,21_POC-020_NF_Gr_H_R1,21_POC-020,20,2,4,21,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V4,Granite CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-021,30_POC-021_NF_Ma_H_R2,30_POC-021,21,2,5,30,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V1,Maximus CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-022,17_POC-022_NF_Pl_H_R2,17_POC-022,22,2,6,17,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V2,RGT Planet,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-023,18_POC-023_NF_Ro_H_R2,18_POC-023,23,2,7,18,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V3,Rosalind,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
