pot_id,pot_label,short_label,photo_order,photo_group,photo_position,blocked_order,photo_group_label,randomised_mapping,mapping_source,temperature_code,bench,temperature_regime,replicate,variety_code,variety_name,disease_code,disease_class,fertiliser_code,fertiliser_level,watering_rule,inoculation_stage,notes
POC-059,50_POC-059_C_Ro_L_R3,50_POC-059,59,4,11,50,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V3,Rosalind,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-060,57_POC-060_C_Gr_L_R3,57_POC-060,60,4,12,57,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V4,Granite CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-061,62_POC-061_C_Ma_L_R4,62_POC-061,61,4,13,62,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V1,Maximus CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-062,59_POC-062_C_Pl_L_R4,59_POC-062,62,4,14,59,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V2,RGT Planet,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-063,58_POC-063_C_Ro_L_R4,58_POC-063,63,4,15,58,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V3,Rosalind,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-064,55_POC-064_C_Gr_L_R4,55_POC-064,64,4,16,55,Control / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V4,Granite CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-065,80_POC-065_NF_Ma_L_R1,80_POC-065,65,5,1,80,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V1,Maximus CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-066,70_POC-066_NF_Pl_L_R1,70_POC-066,66,5,2,70,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V2,RGT Planet,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-067,67_POC-067_NF_Ro_L_R1,67_POC-067,67,5,3,67,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V3,Rosalind,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-068,79_POC-068_NF_Gr_L_R1,79_POC-068,68,5,4,79,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V4,Granite CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-069,74_POC-069_NF_Ma_L_R2,74_POC-069,69,5,5,74,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V1,Maximus CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-070,68_POC-070_NF_Pl_L_R2,68_POC-070,70,5,6,68,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V2,RGT Planet,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-071,71_POC-071_NF_Ro_L_R2,71_POC-071,71,5,7,71,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V3,Rosalind,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-072,73_POC-072_NF_Gr_L_R2,73_POC-072,72,5,8,73,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V4,Granite CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-073,77_POC-073_NF_Ma_L_R3,77_POC-073,73,5,9,77,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V1,Maximus CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-074,66_POC-074_NF_Pl_L_R3,66_POC-074,74,5,10,66,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V2,RGT Planet,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-075,75_POC-075_NF_Ro_L_R3,75_POC-075,75,5,11,75,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V3,Rosalind,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-076,72_POC-076_NF_Gr_L_R3,72_POC-076,76,5,12,72,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V4,Granite CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-077,65_POC-077_NF_Ma_L_R4,65_POC-077,77,5,13,65,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V1,Maximus CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-078,69_POC-078_NF_Pl_L_R4,69_POC-078,78,5,14,69,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V2,RGT Planet,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-079,76_POC-079_NF_Ro_L_R4,76_POC-079,79,5,15,76,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V3,Rosalind,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-080,78_POC-080_NF_Gr_L_R4,78_POC-080,80,5,16,78,Net form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V4,Granite CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-081,86_POC-081_SF_Ma_L_R1,86_POC-081,81,6,1,86,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V1,Maximus CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-082,85_POC-082_SF_Pl_L_R1,85_POC-082,82,6,2,85,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V2,RGT Planet,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-083,83_POC-083_SF_Ro_L_R1,83_POC-083,83,6,3,83,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V3,Rosalind,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-084,87_POC-084_SF_Gr_L_R1,87_POC-084,84,6,4,87,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V4,Granite CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-085,82_POC-085_SF_Ma_L_R2,82_POC-085,85,6,5,82,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V1,Maximus CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-086,95_POC-086_SF_Pl_L_R2,95_POC-086,86,6,6,95,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V2,RGT Planet,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-087,84_POC-087_SF_Ro_L_R2,84_POC-087,87,6,7,84,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V3,Rosalind,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-088,92_POC-088_SF_Gr_L_R2,92_POC-088,88,6,8,92,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V4,Granite CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-089,91_POC-089_SF_Ma_L_R3,91_POC-089,89,6,9,91,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V1,Maximus CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-090,88_POC-090_SF_Pl_L_R3,88_POC-090,90,6,10,88,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V2,RGT Planet,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-091,89_POC-091_SF_Ro_L_R3,89_POC-091,91,6,11,89,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V3,Rosalind,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-092,94_POC-092_SF_Gr_L_R3,94_POC-092,92,6,12,94,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V4,Granite CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-093,81_POC-093_SF_Ma_L_R4,81_POC-093,93,6,13,81,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V1,Maximus CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-094,90_POC-094_SF_Pl_L_R4,90_POC-094,94,6,14,90,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V2,RGT Planet,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-095,93_POC-095_SF_Ro_L_R4,93_POC-095,95,6,15,93,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V3,Rosalind,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-096,96_POC-096_SF_Gr_L_R4,96_POC-096,96,6,16,96,Spot form net blotch / Low fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V4,Granite CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-097,POC-097,POC-097,1,1,1,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V1,Maximus CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-098,POC-098,POC-098,2,1,2,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V1,Maximus CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-099,POC-099,POC-099,3,1,3,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V1,Maximus CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-100,POC-100,POC-100,4,1,4,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V1,Maximus CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-101,POC-101,POC-101,5,1,5,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V1,Maximus CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-102,POC-102,POC-102,6,1,6,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V1,Maximus CL,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-103,POC-103,POC-103,7,1,7,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V2,RGT Planet,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-104,POC-104,POC-104,8,1,8,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V2,RGT Planet,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-105,POC-105,POC-105,9,1,9,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V2,RGT Planet,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-106,POC-106,POC-106,10,1,10,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V2,RGT Planet,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-107,POC-107,POC-107,11,1,11,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V2,RGT Planet,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-108,POC-108,POC-108,12,1,12,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V2,RGT Planet,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-109,POC-109,POC-109,13,1,13,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V3,Rosalind,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-110,POC-110,POC-110,14,1,14,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V3,Rosalind,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-111,POC-111,POC-111,15,1,15,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V3,Rosalind,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-112,POC-112,POC-112,16,1,16,,Photo Group 1,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V3,Rosalind,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-113,POC-113,POC-113,17,2,1,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V3,Rosalind,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-114,POC-114,POC-114,18,2,2,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V3,Rosalind,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-115,POC-115,POC-115,19,2,3,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V4,Granite CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-116,POC-116,POC-116,20,2,4,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V4,Granite CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-117,POC-117,POC-117,21,2,5,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V4,Granite CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-118,POC-118,POC-118,22,2,6,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V4,Granite CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-119,POC-119,POC-119,23,2,7,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V4,Granite CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-120,POC-120,POC-120,24,2,8,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,1,V4,Granite CL,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-121,POC-121,POC-121,25,2,9,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,2,V1,Maximus CL,CTRL,Uninoculated control,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-122,POC-122,POC-122,26,2,10,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,2,V1,Maximus CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-123,POC-123,POC-123,27,2,11,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,2,V1,Maximus CL,NFNB,Net form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-124,POC-124,POC-124,28,2,12,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,2,V1,Maximus CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-125,POC-125,POC-125,29,2,13,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,2,V1,Maximus CL,SFNB,Spot form net blotch,LOW,Low Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
POC-126,POC-126,POC-126,30,2,14,,Photo Group 2,NO,Existing PWA map; randomised labels not supplied,SUMMER,P26 104 Bay 4 - Warm/Summer bench,Warm/Summer,2,V1,Maximus CL,SFNB,Spot form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,
